name,id,tags,planetary,decivRemove,script,desc,icon,order
Política Urbanizada,urbanized_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"Um centro denso e cosmopolita de população, onde pessoas de todos os estilos de vida vivem, trabalham e morrem nos complexos habitacionais empilhados, concursos comerciais e oficinas modulares.",graphics/icons/markets/urbanized_polity.png,130
Política Industrial,industrial_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,"Um centro industrial movimentado. As políticas do governo local incentivam uma indústria próspera, em detrimento de todas as outras preocupações.",graphics/icons/markets/urbanized_polity.png,130
Política Rural,rural_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,"Uma política esparsamente povoada de assentamentos rurais e vilas isoladas. Nesses tempos turbulentos, estranhos geralmente são recebidos com suspeita.",graphics/icons/markets/rural_polity.png,130
Grande População de Refugiados,large_refugee_population,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Refugiados desesperados que fogem de algum desastre acabaram aqui. Vivem na base da sociedade, com poucas oportunidades de melhora, sobrecarregando a infraestrutura doméstica em um status semi-legal tenso. Redução geral na produção. É mais provável encontrar tripulantes em potencial entre aqueles que tentam escapar das condições de vida precárias.",graphics/icons/markets/refugee_population.png,140
Currais de Lagosta Volturniana,volturnian_lobster_pens,"show_in_codex, codex_unlockable",TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Uma mistura de várias espécies da Velha Terra com um pouco de imaginação produziu esta criatura que cresce selvagem nas profundezas esmagadoras do leito marinho de Volturn. Diz-se que o sabor é excepcional.,graphics/icons/markets/lobster_pens.png,137
Demanda por Vícios,vice_demand,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,A demanda por bens de vício é excepcionalmente alta aqui.,graphics/icons/markets/vice_demand.png,145
Crime Organizado,organized_crime,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,Atividades criminosas produzem drogas e órgãos colhidos. Aumenta a demanda por armas de mão (tanto por chefes do crime quanto pela população local) e fuzileiros (pelas autoridades locais).,graphics/icons/markets/organized_crime.png,148
Fronteira,frontier,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"Longe dos centros cosmopolitas de população, a mera sobrevivência, a autossuficiência e apenas o necessário são as regras da fronteira. Aumenta a demanda por armas e suprimentos, reduz a demanda por bens de luxo.",graphics/icons/markets/frontier.png,130
Centro de Desmonte de Naves,shipbreaking_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,"Um grande centro de desmonte de naves nesta região do Setor, cascos são consignados para sucateamento aqui pelas marinhas das principais facções e muitos outros clientes entre os mundos centrais do Setor.",graphics/icons/markets/shipbreaking.png,360
Centro Comercial,trade_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,"Um grande centro de comércio, navios mercantes de todo o Setor atracam aqui esperando encontrar um comprador para suas mercadorias — e algo para comprar em troca, com um bom lucro.",graphics/icons/markets/trade_center.png,280
Descivilizado,decivilized,,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,"Não há uma polity governante estável aqui. A civilização colapsou e a população atual é efetivamente desconhecida, embora grupos de sobreviventes, bandidos e saqueadores possam ser detectados.",graphics/icons/markets/decivilized.png,130
Subpopulação Descivilizada,decivilized_subpop,,,,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,"A civilização foi restaurada em partes de $market, muitas vezes na ponta de um rifle gauss. No entanto, uma população efetivamente desconhecida de sobreviventes, bandidos e saqueadores ainda permanece nas áreas remotas.",graphics/icons/markets/decivilized.png,130
Estação Abandonada,abandoned_station,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,Esta estação está abandonada.,graphics/icons/markets/abandoned.png,130
Indústria Artesanal,cottage_industry,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,"$Market possui uma base substancial de indústria leve de baixa tecnologia e intensiva em mão de obra. Aumenta a demanda por combustíveis orgânicos simples e materiais, fornecendo um suprimento ineficiente, mas charmosoamente artesanal de bens domésticos.",graphics/icons/markets/cottage_industry.png,230
Posto Avançado,outpost,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,"$Market é administrado como uma guarnição ou uma grande nave, com uma rígida estrutura de comando oficial. Isso melhora a estabilidade, mas requer pessoal para lidar com questões de segurança interna.",graphics/icons/markets/outpost.png,130
