id,type,text1,text2,text3,text4,text5,notes
lightmg,WEAPON,"Uma categoria de armas antigas, de baixo custo e fácil disponibilidade, que disparavam projéteis em alta cadência e foram usadas com eficácia contra mísseis e caças em curto alcance ao longo da história dos combates espaciais. Quase inúteis contra alvos devidamente blindados.

Devido à facilidade de fabricação e modificação, centenas de variantes existem. Todas as armas que disparam projéteis inertes químicos em alta cadência — facilmente produzidos até mesmo por uma autoforja rudimentar — com determinado calibre são classificadas como metralhadoras leves montadas em naves. Os mecanismos que acionam essas armas variam consideravelmente.

Populares em pequenas naves civis devido ao baixo custo. Os núcleos densos dos projéteis são frequentemente revestidos com metal mais duro para auxiliar no funcionamento do carregador e na penetração. Esses sistemas de armas entregam uma quantidade surpreendentemente grande de energia cinética em curto alcance, apesar de seu projeto primitivo.",,,,,
lightdualmg,WEAPON,"Uma versão aprimorada da venerável metralhadora leve, com dois canos. Não é especialmente eficaz contra alvos bem blindados, mas tem se destacado no papel de defesa de ponto contra mísseis e caças desde o início dos combates espaciais humanos.

Esta é uma montagem dupla da mesma arma de projéteis químicos inertes de baixo calibre e alta cadência, conhecida por todos os pilotos e armeiros do Setor. Uma excelente montagem de defesa de ponto, que se destaca tanto na interceptação de mísseis quanto no combate a caças.

A grande quantidade de energia cinética entregue aos sistemas de escudo de naves inimigas em curto alcance geralmente causa sobrecarga nos emissores, uma opção tática frequentemente negligenciada por capitães inexperientes.",,,,,
lightmortar,WEAPON,"Uma arma antiquada que dispara projéteis antiblindagem em baixa cadência, velocidade de saída e alcance. A baixa acumulação de fluxo é sua única vantagem.

Os projetos da metralhadora leve não foram concebidos para naves espaciais, mas uma engenhosa modificação no mecanismo de carregamento por culatra permite sua instalação e uso fora de um ambiente atmosférico. Em combate, o morteiro leve tem desempenho ruim contra alvos rápidos ou com escudo devido à sua terrível rotação de montagem e cadência de tiro. Mesmo assim, é frequentemente usado para treinar oficiais novatos nas nuances das táticas e nomenclatura da balística espacial.",,,,,
heavymortar,WEAPON,"Uma arma antiquada que dispara projéteis antiblindagem maiores em uma cadência um pouco maior que seu equivalente menor. A velocidade do projétil é baixa e o alcance efetivo é curto. A baixa acumulação de fluxo é sua única vantagem.

O morteiro pesado foi originalmente projetado para uso em combates de superfície planetária. Supostamente destinado a romper fortificações militares, teve uso muito mais frequente em bombardeios urbanos. Os robustos mecanismos internos permitem sua instalação e uso fora de um ambiente atmosférico com apenas pequenos ajustes, notavelmente a substituição do módulo de mira/alvo automático. Quando empregado contra alvos grandes, sem escudo e de movimento lento, o morteiro pesado pode se mostrar muito eficaz.",,,,,
vulcan,WEAPON,"Um sistema de armas de defesa de ponto balístico de alta cadência especialmente devastador contra mísseis e caças em alcance extremamente próximo. A precisão degrada-se acentuadamente durante rajadas prolongadas de tiro.

Esta plataforma de armas de múltiplos canos é construída em torno de um mecanismo de temporização avançado, mais comumente fabricado por nanoforges autorizadas pela Hegemonia. Os projéteis são tipicamente revestidos com urânio empobrecido e não são explosivos. Múltiplos canos permitem uma cadência de tiro extremamente alta, embora com alto custo de fluxo.",,,,,
lightac,WEAPON,"Canhão automático de pequeno calibre com bom alcance para um chassi tão leve. Projetado para combater escudos inimigos e especialmente eficaz contra os geradores mais fracos usados em cascos menores.

Utiliza projéteis cinéticos de alta velocidade, proporcionando excelente suporte de fogo para naves menores. A baixa taxa de giro da montagem, devido a um complexo sistema de recarregamento automático e resfriamento líquido, torna o Canhão Automático Leve uma escolha ruim para defesa contra caças e mísseis.",,,,,
lightdualac,WEAPON,"Versão de cano duplo do Canhão Automático Leve. Excelente arma de apoio de curto alcance e bastante eficaz para derrubar escudos, sofre com um alcance efetivo reduzido devido ao alto recuo.

Um engenhoso projeto mecânico evita que as portas de ejeção sejam obstruídas, ao mesmo tempo em que ejeta o dobro de cápsulas de munição gastos em comparação ao chassi padrão do Canhão Automático Leve. Como a versão de cano único, este sistema de armas dispara projéteis de alta velocidade projetados para perfurar escudos inimigos. Os sistemas de recarregamento automático e resfriamento líquido são idênticos aos da versão de cano único.",,,,,
lightag,WEAPON,"Canhão de pequeno calibre projetado para combates de curto alcance, excelente contra blindagem e com uma taxa de disparo superior.

Canhão de pequeno calibre projetado para disparar projéteis alto-explosivos. O projeto dos sistemas de resfriamento e recarregamento automático prioriza segurança e prevenção de detonações acidentais causadas por altos níveis de fluxo. Favorito de capitães de destruidores que têm algo a provar.",,,,,
fragbomb,WEAPON,"Libera um aglomerado de pequenas bombas de fragmentação que mantêm o momento da nave lançadora. As bombas são equipadas com um fusível de proximidade.

Um projetor de Bombas de Fragmentação dispara dezenas de bombas de fragmentação Mark VI por três tubos. Não guiadas e sem sistema de propulsão, as bombas dependem de um sistema de identificação amigo-inimigo. Seu grande número permite cobrir uma ampla área do espaço, criando efetivamente uma barreira de Defesa de Ponto naquele local, embora por tempo limitado. Quando o fusível de proximidade é acionado por uma nave inimiga, a bomba detona, alcançando efeitos semelhantes aos de armas antiaéreas.",,,,,
clusterbomb,WEAPON,"Libera um aglomerado de bombas alto-explosivas de alta fragmentação. Mais eficaz contra alvos não escudados e de movimento lento.

Um projetor de Bombas em Cluster é equipado com três tubos projetados para disparar dezenas de bombas perfurantes formadas explosivamente Mark II. As bombas não são guiadas e não possuem sistema de propulsão, dependendo do momento inicial da nave de ataque para atingir o alvo. Elas são equipadas com um scanner de identificação amigo-inimigo e só detonam ao impactar um alvo apropriado. A carga explosiva de formato perfurante é altamente eficaz contra alvos não escudados. O número impressionante de bombas que podem ser lançadas por este sistema de armas torna a Bomba em Cluster uma arma útil para negação de área.",,,,,
bomb,WEAPON,"Um sistema de armas testado e comprovado; a baía de bombas abriga múltiplas ogivas que dependem da velocidade da nave lançadora para atingir o alvo.

Cada baía de bombas é equipada com várias bombas alto-explosivas Comp-X não guiadas que podem ser lançadas uma de cada vez. As bombas não possuem sistema de propulsão e dependem da velocidade da nave lançadora para atingir o alvo (ou seja, bombardeio em mergulho). O escudo atmosférico intrínseco ao projeto também confere às bombas uma alta resistência em um ambiente hostil de Defesa de Ponto.",,,,,
lightneedler,WEAPON,"Dispara rajadas de pequenas flechettes em alta taxa de disparo. O volume de fogo pode rapidamente sobrecarregar projetores de escudos, mas geralmente é ineficaz contra blindagem.

Uma Agulheira Leve é uma arma de pequeno calibre projetada para disparar munição sem estojo. Possui um impressionante sistema de alimentação que pode disparar centenas de 'agulhas' por segundo. Não há necessidade de sistema ejetor, e o espaço economizado é usado para fornecer unidades de resfriamento adicionais, aumentando consideravelmente a taxa de disparo.

A doutrina naval da era do Domínio estabelece que a arma deve ser usada contra escudos inimigos a longa distância, mas, em um aperto, oficiais de artilharia direcionam suas Agulheiras para alas de caças inimigas e ameaças de mísseis de longo alcance.",,,,,
railgun,WEAPON,"Uma melhoria tecnológica do Canhão Automático; o canhão ferroviário dispara projéteis precisos de médio alcance. Como o CA, é excelente para sobrecarregar geradores de escudos inimigos.

Uma versão miniaturizada do Canhão Gauss, o canhão ferroviário depende de um forte campo magnético para disparar projéteis em altas velocidades. A precisão e o alcance são excelentes, e a torre pode girar rapidamente quando não está disparando.

Oficiais de artilharia preferem o canhão ferroviário ao Canhão Automático quando têm fluxo suficiente à disposição.",,,,,
shredder,WEAPON,"Um canhão rotativo projetado com generosidade para proporcionar grande facilidade de operação e confiabilidade. Oficiais de armas das marinhas profissionais do Setor Perseano, no entanto, amaldiçoam o 'Trovão' por recompensar maus hábitos de manutenção.

Destrói mísseis e caças inimigos com uma saraivada avassaladora de projéteis de fragmentação de médio calibre e velocidade média. Embora eficiente em fluxo, este sistema de armas tem pouco efeito contra blindagem e escudos.",,,,,
flak,WEAPON,"Um sistema de armas defensivo que dispara projéteis cheios de estilhaços equipados com um fusível de proximidade para maximizar o efeito contra caças e mísseis.

O crescente uso de caças pequenos e baratos, especialmente no papel de ataque, levou a uma maior implantação deste sistema de armas nos dias agitados antes do Colapso. Dispara projéteis balísticos equipados com um fusível de proximidade. A explosão resultante envia uma saraivada de flechettes em um amplo volume, com um raio de abate respeitável contra alvos padrão. Modelos mais novos apresentam um sistema de controle de fogo integrado a um Preditor Mark VI.",,,,,
heavymg,WEAPON,"Um 'primo' maior da onipresente categoria de metralhadoras de disparo rápido, a Metralhadora Pesada é eficaz contra alvos pequenos e médios.

Um cavalo de batalha de naves de patrulha em todo o Setor, este sistema de armas apresenta um mecanismo de disparo por recuo confiável, que se diz datar dos dias da Velha Terra. Recursos de segurança incluem um sistema de segurança contra detonações acidentais por obstrução do ferrolho aberto e prevenção dupla de recarregamento. A arma é tipicamente montada em uma base relativamente massiva para ajudar a absorver o recuo durante rajadas prolongadas de disparo. Os calibres variam dentro de uma faixa moderada, e a munição é facilmente fabricada por forjas padrão.

Os projéteis mais pesados não se fragmentam ao impacto como munições mais leves e representam uma ameaça credível para naves do tamanho de fragatas. Extremamente precisa, embora com taxa de disparo mais lenta do que um canhão vulcano. Excelente no papel de Defesa de Ponto.",,,,,
arbalest,WEAPON,"Um projeto de arma antiquado com alto dano por disparo para seu tamanho. Os projéteis cinéticos são especialmente eficazes contra escudos inimigos.

Grandes naves de patrulha na época do Colapso eram majoritariamente equipadas com a plataforma de armas Arbalest Mk I; isso provavelmente explica por que a Arbalest é considerada uma das armas mais saqueadas do Setor. O sistema primitivo de resfriamento e a falta de um ejetor automático prejudicam a taxa de disparo e a confiabilidade.

O único aspecto positivo é a onipresença de projetos para o projétil da arbalest, que é eficaz para derrubar escudos inimigos. A eficácia dos projéteis é pouco compreendida e suspeita-se que esteja relacionada às propriedades eletromagnéticas não intencionais dos revestimentos dos projéteis.",,,,,
dualflak,WEAPON,"Um sistema de armas defensivo aprimorado e viciosamente eficaz de canhão antiaéreo. Apelidado de 'Viúva Negra' por sua capacidade de despedaçar caças inimigos que se aproximam.

Assim como o canhão antiaéreo padrão, esta arma devasta alvos menores como caças e mísseis, embora dispare dois projéteis equipados com fusível de proximidade. A dispersão controlada garante detonação dupla e um maior raio de abate. Caças raramente são lançados intencionalmente contra naves equipadas com o Dual Flak por motivos óbvios. Excelente taxa de disparo e giro da torre.",,,,,
chaingun,WEAPON,"A metralhadora GA-X Industries Mk. II se destaca em combates de curto alcance, onde a precisão é menos importante do que o dano total e o volume de fogo.

A ferramenta favorita de capitães 'de combate corpo a corpo', a Metralhadora de Assalto entrega projéteis perfurantes alto-explosivos no alvo a uma taxa assustadora. Possui sistemas de alimentação e ejeção motorizados e uma unidade avançada de nano-resfriamento integrada ao cano.

A única desvantagem é um perfil de torre mais pesado, que, aliado à falta do projeto de governador correspondente, é tipicamente montado em rotadores incompatíveis, resultando em velocidades de giro inesperadamente baixas.",,,,,
heavymauler,WEAPON,"Um sistema de armas avançado projetado para perfurar blindagens a longa distância. Possui baixa taxa de disparo sustentada, mas alto dano por rajada.

O 'Esmagador Pesado' é uma arma brutal projetada para engajar alvos a médio e longo alcance. Em seu núcleo, a arma é um canhão automático com um sistema de nano-resfriamento e uma porta de ejeção externa. No entanto, diferentemente dos canhões automáticos normais, o Esmagador Pesado se distingue por um carregador de barril de antimatéria alimentado por pequenas quantidades de combustível estelar padrão.

Ao sair da câmara de disparo, cada ogiva do projétil é carregada com um campo de antiprótons que flutua de 10 a 20 nanômetros à frente do projétil, estabilizado por um revestimento de bárions. Ao impactar um alvo, esta 'bainha' de antiprótons perde integridade estrutural e a reação resultante causa dano adicional. Dado que os projéteis já entregam força destrutiva impressionante ao alvo, a reação combinada torna o Esmagador Pesado particularmente eficaz contra alvos blindados.",,,,,
heavyac,WEAPON,"Um canhão de três canos que dispara uma rajada de projéteis padronizados a médio alcance. É mais eficaz contra escudos inimigos.

Canhão automático de médio calibre e três canos, tipicamente empregado com munição de médio porte. Fusíveis de disparo eletricamente ativados garantem contagens precisas de disparo. Uma excelente arma de apoio de fogo, tipicamente instalada em naves do tamanho de destruidores e cruzadores. Uma bateria de canhões automáticos pesados com uma solução de disparo adequada pode representar uma séria ameaça a naves capitais.

A massa adicional necessária para acomodar o complexo sistema de recarregamento automático e resfriamento resulta em uma taxa de giro muito ruim, no entanto.",,,,,
hveldriver,WEAPON,"Uma arma especializada projetada para sobrecarregar e desativar sistemas inimigos à distância. O projétil de durânio de alta velocidade também é eficaz contra escudos.

O Impulsionador Hiperveloz usa um processo de duas etapas para acelerar um projétil de durânio com um núcleo de ferro-cobalto magnetizado a uma velocidade muito alta. Uma carga química acelera o projétil primeiro, e então as bobinas magnéticas assumem, acelerando o projétil ainda mais e estabilizando seu voo. O projétil está altamente carregado quando atinge o alvo, gerando uma quantidade significativa de interferência eletromagnética na nave que ele impacta.",,,,,
heavyneedler,WEAPON,"Uma montagem dupla da Agulheira Leve com uma base mais pesada; este sistema de armas avançado é capaz de rapidamente sobrecarregar projetores de escudos.

A Agulheira Pesada é uma arma avançada que dispara pequenas flechettes. Uma melhoria em relação à Agulheira Leve, apresenta melhores sistemas de alimentação e resfriamento, permitindo uma taxa de disparo ainda maior. Os projéteis são idênticos à versão leve: flechettes sem estojo revestidas de tungstênio.",,,,,
gauss,WEAPON,"Uma arma de longo alcance projetada para sobrecarregar os escudos do alvo. O pesado projétil cinético que dispara também é eficaz contra todas as blindagens, exceto as mais pesadas.

Usa bobinas magnéticas para acelerar um grande projétil composto ultra-denso a velocidades relativísticas. Geralmente avaliado na faixa de centenas de giga-amperes, raramente excedendo um tera-ampere. E, ao contrário da maioria das armas balísticas, possui uma alta carga de fluxo quando disparada. Torres equipadas com este sistema têm uma taxa de giro extremamente baixa.

Arma muito eficaz cuja utilidade é limitada pela baixa potência do reator de naves que normalmente apresentam grandes montagens de armas balísticas.",,,,,
hephag,WEAPON,"Um grande sistema de artilharia balística com bom alcance operacional; seus projéteis perfurantes de carga moldada alto-explosiva são projetados para despedaçar blindagens pesadas. O dano bruto também pode servir para sobrecarregar emissores de escudos mais fracos.

O Canhão de Assalto Hephaestus é uma plataforma de armas verdadeiramente devastadora, nomeada em homenagem a uma divindade da Velha Terra associada a um predecessor distante da autoforja. Um chassi típico apresenta dois canos L/89 que alternam disparos de projéteis anti-blindagem em alta cadência de tiro. Um ejetor eletromagnético, sistema de alimentação motorizado e nano-refrigerantes permitem que a arma dispare por períodos prolongados, limitados apenas pelo reservatório de fluxo.

Existe uma tradição entre oficiais da Hegemonia de comentar o baque-baque do recuo do Hephaestus como ""O batimento do coração da Marinha da Hegemonia"", ao que a tripulação responde com um vigoroso ""Ooh-rah!"". Vários jogos de beber com tema semelhante, embora mais grosseiramente expressos, são suportados por bares portuários, muito para o aborrecimento dos proprietários devido ao barulho e inevitáveis vasos de bebida quebrados.",,,,,
mark9,WEAPON,"Um formidável canhão automático de médio alcance, mais eficaz contra escudos; o Mark IX também pode servir admiravelmente para obliterar cascos sem blindagem. Um projeto de dois canos e um sistema exclusivo de carregamento duplo permite a saída de um grande volume de projéteis de calibre pesado.

Os projetos do Mark IX foram redescobertos pela primeira vez no Setor Perseano em um navio abandonado à deriva capturado no poço gravitacional da Estrela Penélope. Após uma rápida análise dos arquivos por um avaliador não qualificado — relatórios históricos consideravam o Mark IX obsoleto devido ao fraco desempenho contra os encouraçados fortemente blindados que eram favorecidos naquela era — o projeto foi leiloado e comprado por uma pequena organização mercenária conhecida como Tactistar, uma contratante militar que era então uma subsidiária da Ko Combine, e esquecida. Após alguns ciclos, capital excedente suficiente foi encontrado para finalmente construir e testar um protótipo para ensaios de armas. O Mark IX foi considerado medíocre, excessivamente grande e mediano contra alvos blindados. Mesmo assim, o dano bruto era impressionante e ensaios secundários mostraram efeito devastador quando empregado contra alvos com escudos.

Posteriormente, o Mark IX não permaneceu em segredo por muito tempo. A Tactistar Combine vendeu lucrativamente direitos de fabricação por todo o Setor Perseano e logo readquiriu sua independência de sua outrora ponderosa corporação-mãe.",,,,,
mjolnir,WEAPON,"Um sofisticado sistema de artilharia de médio alcance que entrega dano superior juntamente com uma carga significativa de PEM.

O Mjolnir é tecnicamente um projetor magneto-gravítico, e não um canhão como tradicionalmente compreendido. Cada munição contém uma pequena quantidade de matéria exótica condensada e uma micro-singularidade isolada, que se combinam destrutivamente no impacto, canalizando energia através de uma lente gravitacional temporária. O efeito local resulta na devastação da matéria comum e na liberação de um poderoso pulso eletromagnético (PEM) que desativa armas e sistemas dentro da nave-alvo.",,,,,
multineedler,WEAPON,"Dispara uma saraivada esmagadora de projéteis cinéticos que facilmente sobrecarregam a maioria dos projetores de escudos.

O Needler Tempestade é um grande sistema de armas balísticas que dispara munição flechette sem estojo de pequeno calibre. Ao atingir os limites práticos de sistemas de resfriamento de tamanho médio, os projetistas de munição sem estojo abriram caminho para armas maiores com os recicladores avançados de nano-refrigeração do Needler Tempestade, raiamento magnetizado por cano e operação automatizada. Um carregador automático inteligente desembala e carrega a quantidade certa de munição dos carregadores, permitindo operação prolongada desde que a nave hospedeira tenha capacidade de fluxo adequada.",,,,,
hellbore,WEAPON,"Um enorme canhão que dispara projéteis lentos de plasma carregado. Os projéteis são altamente eficazes contra blindagem e obliteram qualquer estrutura de casco remanescente.

Uma plataforma de armas temida, raramente empregada devido à complexidade envolvida na fabricação de um cano reforçado que possa disparar com segurança projéteis perfurantes de carga moldada de grande porte. Quando tal projétil impacta um alvo, o efeito Neumann faz com que a ogiva projete um jato de metal fundido na blindagem do alvo, vaporizando uma pequena área, causando rompimentos no casco, despressurização e extensos danos internos por estilhaços.",,,,,
reaper,WEAPON,"Um único torpedo não guiado de rendimento devastador com um potente motor a bordo.

A arma de ataque quintessencial, um único torpedo Ceifador é um grande sistema de entrega autopropulsado, blindado e não guiado para uma ogiva nuclear catalisada por AM enriquecido. A ciência por trás do detonador surpreendentemente compacto é pouco compreendida no Setor, embora amplamente especulada ser baseada em física classificada como secreta pelas autoridades do Domínio. O que se sabe é que três ou quatro desses torpedos passando pela defesa de ponto são suficientes para destruir até mesmo a maior nave capital.",,,,,
atropos,WEAPON,"Um suporte de torpedos guiados avançados. A carga útil é menor que o usual para acomodar o pacote avançado de orientação e o sistema de manobra com sua massa de reação.

O torpedo Atropos é um grande torpedo guiado de alcance estendido. Cada suporte monta dois torpedos que podem ser disparados separadamente, permitindo máxima flexibilidade aos capitães de ataque. A ogiva nuclear catalisada por AM tipicamente usada em ogivas de torpedo está ausente aqui, pois a interferência bariônica do detonador atrapalharia os sistemas de orientação. Ela é substituída por uma carga química menor, mas ainda potente.",,,,,
atropos_single,WEAPON,"Um torpedo guiado avançado e único. A carga útil é menor que o usual para acomodar o pacote avançado de orientação e o sistema de manobra com sua massa de reação.

O torpedo Atropos é um grande torpedo guiado de alcance estendido. A ogiva nuclear catalisada por AM tipicamente usada em ogivas de torpedo está ausente aqui, pois a interferência bariônica do detonador atrapalharia os sistemas de orientação. Ela é substituída por uma carga química menor, mas ainda potente.

Este suporte apresenta apenas um torpedo.",,,,,
swarmer,WEAPON,"Um lançador de mísseis guiados de curto alcance. Os mísseis são projetados para interceptar alvos ágeis e são primariamente eficazes contra pequenas naves como fragatas e caças.

Dispara rajadas de mísseis pequenos. Um sistema simples de infravermelho fornece rastreamento eficaz, enquanto micropropulsores químicos fornecem excepcional manobrabilidade. Algoritmos de mira evolutivos aperfeiçoados ao longo de séculos de aplicação no mundo real permitem que os mísseis antecipem o alvo — raramente erram e são muito difíceis de evitar.",,,,,
swarmer_fighter,WEAPON,Um lançador de mísseis guiados de curto alcance. Os mísseis são projetados para interceptar e destruir caças inimigos.,,,,,
annihilator,WEAPON,"Dispara uma nuvem de foguetes não guiados que cobrem um amplo arco. Tipicamente usado para remover blindagens inimigas uma vez que os escudos estejam abaixados.

Foguetes de médio a longo alcance lançados de um pequeno compartimento que dispara cinco mísseis por salva em uma dispersão estreita para melhorar as chances de acerto. Os foguetes são pequenos e não guiados, com o espaço extra sendo ocupado por uma ogiva maior e sistemas de propulsão melhorados, além de blindagem mais espessa.

Desempenha bem contra alvos maiores devido à maior chance de acertar com múltiplos foguetes. Um ataque com foguetes é frequentemente usado como cortina antes de um ataque de torpedo para reduzir a eficácia dos sistemas de Defesa de Ponto. Leva vários segundos para recarregar após uma salva.",,,,,
annihilator_fighter,WEAPON,Dispara uma salva de foguetes não guiados. Tipicamente usado para remover blindagens inimigas uma vez que os escudos estejam abaixados.,,,,,
annihilatorpod,WEAPON,"Dispara uma corrente de foguetes não guiados. Útil para lidar com blindagens inimigas ou — devido ao custo zero de fluxo — aplicar pressão sustentada.

Apresenta os mesmos foguetes de médio a longo alcance encontrados em lançadores menores. Os foguetes são não guiados, com o espaço extra sendo ocupado por uma ogiva maior e sistemas de propulsão melhorados, além de blindagem mais espessa.

Desempenha bem contra alvos maiores devido à maior chance de acertar com múltiplos foguetes. Um ataque com foguetes é frequentemente usado como cortina antes de um ataque de torpedo para reduzir a eficácia dos sistemas de Defesa de Ponto.",,,,,
heatseeker,WEAPON,"Localiza os motores do alvo e os desativa com um poderoso pulso de PEM. Um sistema de carregamento automático de combate garante utilidade em engajamentos prolongados.

O míssil Salamandra é uma arma especializada com duas considerações de projeto. A primeira é um mecanismo de rastreamento/mira extremamente avançado que permite que ele localize os motores inimigos, evitando todos os outros pontos potenciais de impacto e ameaças de Defesa de Ponto.

A segunda é um projeto especial de ogiva que, em vez de tentar destruir o alvo com força cinética ou explosiva, gera campos eletromagnéticos direcionados de alta magnitude. Quando tal campo é criado nas proximidades de motores e componentes de casco sem escudo, ele rapidamente desativa toda a eletrônica, tornando-os inúteis até serem reparados.",,,,,
salamanderpod,WEAPON,"Localiza os motores do alvo e os desativa com um poderoso pulso de PEM. Um sistema de carregamento automático de combate garante utilidade em engajamentos prolongados.

Um compartimento montado externamente substitui os suportes de mísseis mais comuns e permite que dois mísseis sejam disparados quase simultaneamente. Um carregador automático extrai, armar e prepara a próxima salva de dois mísseis após um breve intervalo.

O míssil Salamandra é uma arma especializada com duas considerações de projeto. A primeira é um mecanismo de rastreamento/mira extremamente avançado que permite que ele localize os motores inimigos, evitando todos os outros pontos potenciais de impacto e ameaças de Defesa de Ponto.

A segunda é um projeto especial de ogiva que, em vez de tentar destruir o alvo com força cinética ou explosiva, gera campos eletromagnéticos direcionados de alta magnitude. Quando tal campo é criado nas proximidades de motores e componentes de casco sem escudo, ele rapidamente desativa toda a eletrônica, tornando-os inúteis até serem reparados.",,,,,
harpoon,WEAPON,"Suporte de mísseis guiados de médio alcance e alta carga útil. Devastador contra naves com escudos abaixados.

Três suportes de mísseis de médio alcance. Um excelente sistema de propulsão entrega uma grande ogiva ao alvo em velocidades subluz. Sacrificando manobrabilidade por velocidade e tamanho da ogiva, o míssil de médio alcance é uma das armas de maior rendimento não nucleares empregadas no Setor. Um único acerto é quase fatal para naves do tamanho de fragatas.

Este sistema de armas apresenta um suporte de disparo que abriga múltiplos mísseis.",,,,,
harpoonpod,WEAPON,"Pod de mísseis guiados de médio alcance e alta carga útil. Devastador contra naves com escudos abaixados.

Um compartimento montado externamente substitui os suportes de mísseis mais comuns e permite que múltiplos mísseis sejam disparados quase simultaneamente. Um carregador automático extrai, armar e prepara a próxima salva de mísseis após um breve intervalo.

Estes mísseis de médio alcance são idênticos aos disparados de suportes simples ou triplos, e são uma ótima maneira de terminar uma nave com escudos abaixados. Um excelente sistema de propulsão entrega uma grande ogiva ao alvo em velocidades subluz. Sacrificando manobrabilidade por velocidade e tamanho da ogiva, o míssil de médio alcance é uma das armas de maior rendimento não nucleares empregadas no Setor. Um único acerto é quase fatal para naves do tamanho de fragatas.",,,,,
harpoon_single,WEAPON,"Míssil guiado de médio alcance e alta carga útil. Devastador contra naves com escudos abaixados.

Um excelente sistema de propulsão entrega uma grande ogiva ao alvo em velocidades subluz. Sacrificando manobrabilidade por velocidade e tamanho da ogiva, o míssil de médio alcance é uma das armas de maior rendimento não nucleares empregadas no Setor. Um único acerto é quase fatal para naves do tamanho de fragatas.

Este suporte só pode lançar um míssil por vez e carrega uma única recarga em um carregador de combate embutido no casco.",,,,,
sabot,WEAPON,"Dispara uma segunda etapa de penetradores cinéticos de alta velocidade em alcance. Causa dano pesado em escudos e dano massivo de PEM ao atingir o casco ou blindagem inimiga. Difícil de ser interrompido pela defesa de ponto.

Mísseis da classe Sabot são armas cinéticas de dois estágios e curto alcance. Um primeiro estágio guiado projeta um conjunto secundário até uma distância de ataque de um alvo protegido por escudo. O computador de mira a bordo então aciona o propelente para um penetrador cinético. Este 'sabot', como é comumente chamado, é tipicamente um projétil estreito e estabilizado lateralmente, fabricado com material ultradenso como urânio empobrecido.

Excelente para derrubar escudos inimigos e causar sobrecarga. A blindagem padrão dos navios é espaçada, assim o sabot causa dano mais gerenciável se os escudos forem abaixados a tempo de receber o impacto na blindagem.

Este sistema de armas possui um suporte de disparo que abriga múltiplos mísseis.",,,,,
