id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
# COMBAT,,,,,,,,,,,,,
helmsmanship,Habilidade de governo,10,1,0,,"Ela canta quando você acerta a mistura na medida certa, tipo, [humming]. Tudo está certo no mundo, das estrelas até seus ossos. Saindo de um turno, é como se eu tivesse acabado de acordar. [risos] Palavras não conseguem descrever.","Projeto de Entrevistas do Porto de Nachiketa, Ep.3",TRUE,,,,graphics/icons/skills/helmsmanship.png,
combat_endurance,Resistência em Combate,20,1,0,,"Através da calamidade, o Décimo Quarto suportou.
Através da hegemonia, o Domínio suporta.
Através do dever, a humanidade há de suportar.","Almirante Kali Molina, a Declaração de Hegemonia, c49",TRUE,,,,graphics/icons/skills/combat_endurance3.png,
impact_mitigation,Mitigação de Impacto,30,2,0,,"A manobra produziu um ângulo de impacto oblíquo, dissipando o momento do projétil na camada de ferroespuma. Foi o momento infeliz do choque resultante que causou a trágica morte do Tripulante York durante uma transferência de equipamento pesado, de outra forma rotineira.","Confronto de Thule em c120.03.08, Relatório apresentado pelo Navarca Zhou",TRUE,,,,graphics/icons/skills/impact_mitigation.png,
damage_control,Controle de Danos,40,2,0,,"O que se perdeu, se perdeu. Deixe aqueles compartimentos queimarem, foque seus esforços no que nos levará pela próxima hora.",Último discurso do Navarca Tethys para a tripulação do PLS Astelene Key,TRUE,,,,graphics/icons/skills/damage_control2.png,
field_modulation,Modulação de Campo,50,2,0,,Poucos têm talento para o que gosto de chamar de 'sintonia ativa'. Acho que músicos fazem os melhores oficiais de campo.,"Ardis Soloman, dados vazados submetidos ao algoritmo de redação da COMSEC",TRUE,,,active_defenses,graphics/icons/skills/field_modulation.png,
point_defense,Defesa de Ponto,60,3,0,,"Eu, eu não curto aqueles lasers e afins. Faz um show de luzes danado, com certeza, mas nada detém aqueles blips como uma parede de DU de uma boa matriz Vulcan.","""Heróis do Convés Inferior"", uma série da HEGCOM",TRUE,,,,graphics/icons/skills/advanced_countermeasures.png,
target_analysis,Análise de Alvo,70,4,0,,Uma mente humana assistida por máquina é capaz de intuir soluções eficazes apesar de dados de sensores conflitantes e diretivas táticas contraditórias. O computador de mira sozinho jamais poderá substituir verdadeiramente um guerreiro.,"""Sobre Combate Espacial, XXII ed."", da biblioteca do 14º Grupo de Batalha do Domínio",TRUE,,,,graphics/icons/skills/target_analysis2.png,
ballistic_mastery,Domínio de Balística,80,4,0,,"O que parou o plano da Tri-Tachyon? (Armas!)
O que foi que o velho Ludd esqueceu? (Armas!)
O que nós temos que eles não? (Armas grandes, grandes!)",canção de bebedeira da marinha da Hegemonia,TRUE,,,ballistic_weapons,graphics/icons/skills/ranged_specialization.png,
systems_expertise,Experiência em Sistemas,90,5,4,2,"Não, não acho que seja uma contradição. É, hum, uma jornada espiritual. Você é testado. E é como dizem: o diabo está nos detalhes.","""Soldados de Infantaria de Ludd"" holodoc, entrevista com engenheiro Pather",TRUE,,,,graphics/icons/skills/systems_expertise.png,
missile_specialization,Especialização em Mísseis,100,5,4,2,Meus colegas não apreciam suas excentricidades. Você tem todas essas pequenas naves espaciais quebrando todas as regras porque não há necessidade de sobreviver ao pouso.,"Entrevista de saída de K. Astraia, ex-projetista de armamentos, Estaleiro Estelar de Culann",TRUE,,,missile_weapons,graphics/icons/skills/missile_specialization2.png,
,,,,,,,,,,,,,
# LEADERSHIP,,,,,,,,,,,,,
tactical_drills,Exercícios Táticos,500,1,0,,"Perfeito.
Agora, faça de novo.","Cameron Fourth-Phobos, Campo de Tiro Coatl",,TRUE,,,graphics/icons/skills/weapon_drills.png,
coordinated_maneuvers,Manobras Coordenadas,520,2,0,,"Senhor — hostis se aproximando em queima total. Grandes. Contagem dois. Não, três. Mais... há muitos! Leitura de alta energia. Contato em seis.","Arquivo de áudio do CIC do HSS Ceraon, recuperado em 13/09/189",,TRUE,,,graphics/icons/skills/coordinated_maneuvers2.png,
wolfpack_tactics,Táticas de Matilha,530,2,0,,"Uma frota que age com uma só mente transforma aquelas formações bonitas, tão queridas pelos oficiais de mesa, em bestas cambaleantes implorando para terem a garganta cortada. Soltem os cães para que possamos ser lobos novamente.","Senhor da Guerra Kanta, citado em ""Meu Ano Com a Rainha Pirata""",,TRUE,,,graphics/icons/skills/wolfpack.png,
crew_training,Treinamento de Tripulação,540,2,0,,"Conheço o seu tipo. Assinou o contrato com terra nos seus sapatos, pronto para brincar de spacer. Assistiu a muitos holos de propaganda de guerra da Hegemonia, não foi? Saiba disso agora: coragem não é competência. Fazer o herói vai nos matar a todos. Trabalho cuidadoso e atento é o que faz o serviço ser feito.","Chaiya Mimas, divisão de frota da Tri-Tachyon, introdução ao treinamento",,TRUE,,,graphics/icons/skills/crew_training.png,
fighter_uplink,Vínculo com Caças,545,3,0,,"Os pilotos de caça tecem lendas ao seu redor, mas são apenas a ponta de uma lança que eu comando sozinho.","Comodoro Jensulte da Marinha da Hegemonia, ~c82",,TRUE,,,graphics/icons/skills/fighter_uplink2.png,
carrier_group,Grupo de Transportes,550,3,0,,"As estatísticas dizem que eles serão vaporizados numa parede de estilhaços antes de cumprirem meia dúzia de missões, mas ainda assim queremos ser eles. Uma vez na cabine, são os únicos entre nós que controlam o próprio destino.","Projeto de Entrevistas Nachiketa Portside, Ep.4",,TRUE,,,graphics/icons/skills/carrier_command.png,
officer_training,Treinamento de Oficiais,560,4,3,,"Eles podem ser 'uma malta desorganizada de mercadores, contrabandistas e piratas', mas se você lhes der algo pelo que lutar, acho que podem surpreendê-lo.",Comentário do Almirante Nurul Park sobre a integração da marinha de Cibola,,TRUE,,,graphics/icons/skills/officer_training.png,
officer_management,Gerenciamento de Oficiais,570,4,3,,"As perspectivas eram sombrias, então prometi aos capitães mercenários o dobro do bônus de combate. Com todas as baixas, só tive que pagar metade deles. Deu tudo certo no final.","Carson Kang, Gerente da divisão de frotas de Valhalla, Tri-Tachyon",,TRUE,,,graphics/icons/skills/officer_management.png,
best_of_the_best,Os Melhores dos Melhores,580,5,4,2,"O que temos, Artemisia, é algo que não pode ser comprado.",Orcus Rao nas negociações que encerraram a Segunda Guerra das IAs (apócrifo),,TRUE,,,graphics/icons/skills/best_of_the_best.png,
support_doctrine,Doutrina de Suporte,590,5,4,2,"Nem todo cadete tem talento, habilidade ou sequer duas células cerebrais para esfregar uma na outra, mas, por todos os infernos e radiações, eles se formarão com disciplina.","Comentário não atribuído da equipe da Academia Coatl, arquivos COMSEC",,TRUE,,,graphics/icons/skills/space_ops.png,
force_concentration,Concentração de Forças,590,5,4,2,"Quando eu proporcionar a vitória no momento e local de minha escolha, a história me absolverá do sacrifício de um ou dois planetas.","Almirante da Frota Andrada, discurso para a Assembleia Estratégica da Hegemonia",,TRUE,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
,,,,,,,,,,,,,
# TECHNOLOGY,,,,,,,,,,,,,
