name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Especificação Base de Modificação,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,"Uma coleção de anotações, diretrizes e exemplos práticos que permitem adaptar e aplicar esta modificação a diversos cascos.",50
,,,,,,,,,,,,,,,
# industry-slotted items,,,,,,,,,,,,,,,
Autoforja Corrompida,corrupted_nanoforge,"nanoforge, pather4, colony_item, codex_unlockable",Domain Restricted,,50000,1000,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Uma poderosa e versátil ""caixa preta"" de manufatura, capaz de se expandir para uma escala industrial, desde que haja matérias-primas e assistência humana necessárias.

Esta aqui já teve dias melhores e não consegue produzir componentes sem defeitos de forma confiável. Ainda assim, ter acesso a uma autoforja já é um grande avanço quando se trata de construção de naves estelares.",139
Autoforja Imaculada,pristine_nanoforge,"nanoforge, hist3t, pather4, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/nanoforge_pristine.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Uma poderosa e versátil ""caixa preta"" de manufatura, capaz de se expandir para uma escala industrial, desde que haja matérias-primas e assistência humana necessárias.

Segundo seus diagnósticos internos, ela está como nova. Na prática, obter componentes de naves estelares sem defeitos ainda é um desafio dado o estado geral da manufatura no Setor, mas esta autoforja é o melhor que existe.",139.1
Núcleo Sincrotron,synchrotron,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,"Uma autoforja especializada, carregada com firmware e nano-tecnologia inicial para se expandir em um Sincrotron, permitindo a produção industrial de antimatéria em larga escala.",139.2
Lâmpada de Fusão Orbital,orbital_fusion_lamp,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fusion_lamp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Um reator de fusão miniaturizado e de saída variável, capaz de fornecer luz e calor abundantes a um planeta.

Para operar com segurança, requer quantidades prodigiosas de voláteis. Se a demanda não for atendida, o reator sofre com instabilidade potencialmente perigosa, que pode levar a um aumento descontrolado na saída. Processos judiciais sobre se este dispositivo é inerentemente inseguro ou simplesmente usado de forma inadequada estavam em andamento nos tribunais do Domínio na época do Colapso.",135
Derivação de Hiperdesvio,coronal_portal,"hist3t, pather8, planet_search, colony_item, codex_unlockable",Domain Restricted,,300000,1000,1,EXTREME,graphics/icons/cargo/hypershunt_tap.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Uma interface miniaturizada de buraco de minhoca que pode ser ativada para se conectar a um hiperdesvio coronal próximo, fornecendo energia virtualmente ilimitada a uma colônia.

A operação requer quantidades industriais de transplutônicos, que são inicialmente usados para abrir o buraco de minhoca e, depois — uma vez que a energia extraída se torna autossustentável — são consumidos em um processo ablativo complexo que mantém a estabilidade do wormhole. Qualquer interrupção no fornecimento exige uma desativação completa da derivação.",137
Perfuratriz Autônoma de Manto,mantle_bore,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,80000,1000,1,EXTREME,graphics/icons/cargo/terraforming_bore.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Embora se acredite que não restem mais unidades funcionais de controle remoto no Setor, a perfuratriz é capaz de operação independente — ainda que, às vezes, imprevisível. Os sistemas de segurança em modo automático impedem seu uso em mundos habitáveis.",140
Núcleo Catalítico,catalytic_core,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Ko Combine,,100000,1000,1,EXTREME,graphics/icons/cargo/catalytic_core.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,Melhora drasticamente a eficiência das operações de refino por meio de uma peculiaridade surpreendente da física de osmose. A operação requer acesso ao vácuo em uma escala difícil de ser alcançada em planetas com pressão atmosférica significativa.,145
Nanitos do Solo,soil_nanites,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,60000,1000,1,EXTREME,graphics/icons/cargo/soil_nanites.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,farming,"Permite o enriquecimento e a recuperação do solo em um ritmo muito além do que os processos naturais não assistidos conseguem. O Regulamento de Segurança de Nanitos do Domínio 4324, subseção 81, proíbe o uso em mundos com depósitos de minério transplutônico ou voláteis, e, infelizmente, o sistema de segurança integrado parece estar funcional.",150
Embrião de Biofábrica,biofactory_embryo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Exodyne Biotech,,120000,1000,1,EXTREME,graphics/icons/cargo/biofactory_embryo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,lightindustry,"Uma grande variedade de bens de consumo pode ser cultivada em vez de fabricada. A biofábrica totalmente extrudada só prospera no delicado equilíbrio de luz solar, nutrientes do solo e condições atmosféricas que um mundo habitável pode fornecer. Tentativas de replicar essas condições em ambientes artificiais sempre falham, fazendo com que a fábrica adoeça, provavelmente devido a um sistema de segurança geneticamente codificado.",155
Bobina de Fulereno,fullerene_spool,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fullerene_spool.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"spaceport, megaport","Um cabo de nanomalha de carbono ultra-resistente, essencial para a construção de um elevador espacial. Melhora consideravelmente a eficiência da logística entre a superfície de um planeta e a órbita baixa.",160
Dínamo de Plasma,plasma_dynamo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,100000,1000,1,EXTREME,graphics/icons/cargo/plasma_dynamo.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Peça central supercondutora de um sistema industrial que cria uma rede planetária de plasma, permitindo a extração eficiente e espetacular de voláteis da atmosfera de um gigante gasoso adequado.",165
Motor Criotermodinâmico,cryoarithmetic_engine,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Domain Restricted,,200000,1000,1,EXTREME,graphics/icons/cargo/cryoarithmetic_engine.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"patrolhq, militarybase, highcommand","Um computador quântico que viola a segunda lei da termodinâmica ao esfriar em vez de esquentar durante cálculos.

Uma vasta rede planetária de filamentos — terminados em dissipadores de calor — se expande, usando calor para impulsionar seu crescimento e continuidade computacional. Quanto mais quente a superfície do planeta, mais eficaz o motor de processamento. A capacidade de processamento inigualável é uma grande vantagem para o planejamento logístico e estratégico.",170
