id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,População & Infraestrutura,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,"A infraestrutura básica necessária para sustentar uma dada população, desde módulos habitacionais orbitais precários até megacidades e tudo mais entre eles.",100,
farming,Agricultura,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"A agricultura é um comércio e uma tecnologia tão antigos quanto a própria civilização; há milhares de ciclos a Humanidade tem aproveitado o poder de máquinas biológicas naturais, modificadas e artificiais para a subsistência. Sempre foi assim, assim será enquanto os humanos forem humanos.",200,LOW
aquaculture,Aquicultura,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"A agricultura em um mundo aquático requer um investimento inicial significativo em engenharia de espécies adequadas, mas uma vez que o processo decole, fazendas de algas e pescarias podem ser operadas pela população sem exigir muito em termos de treinamento especializado ou equipamento.",210,MEDIUM
mining,Mineração,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"Minérios e metaloides, compostos orgânicos e voláteis exigem equipamentos pesados, infraestrutura especializada e uma força de trabalho qualificada para extração. O trabalho árduo atrai certo tipo de pessoa, e uma administração que não esteja disposta a fechar os olhos de vez em quando pode se encontrar com falta de pessoal disposto.",300,MEDIUM
techmining,Mineração Tecnológica,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,"A mineração tecnológica é a arte heterogênea de recuperar artefatos valiosos de ruínas do Domínio. Requer ferramentas especiais para lidar com perigos únicos e julgamento especializado para saber onde procurar um bom lote de bugigangas. Os mineradores tecnológicos mais antigos são um grupo estranho, agarrados a amuletos da sorte e se recusando a trabalhar sem seus rituais.",400,MEDIUM
refining,Refino,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,"Usinas de fundição aqui convertem minérios e minérios transplutônicos em metais e transplutônicos, respectivamente. Robôs teleoperados são usados para lidar com as tarefas mais perigosas, geralmente.",500,MEDIUM
spaceport,Porto Espacial,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,Instalações para carregar e descarregar cargas e realizar reparos básicos em naves estelares. Uma colônia sem um porto espacial é praticamente inacessível ao comércio interestelar.,150,HIGH
megaport,Megaporto,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"Um vasto porto estelar onde as estrelas podem tocar o solo. Gantries regimentados de pouso e tanques de combustível blindados são entrelaçados por estradas de acesso e bondes de carga de curto percurso que alimentam uma rede de distritos de armazéns e terminais logísticos, tornando a colônia muito mais acessível.",151,EXTREME
lightindustry,Indústria Leve,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,Produz bens domésticos e de luxo. Uma das poucas indústrias relativamente pouco afetadas pelo Colapso devido à sua natureza de baixa tecnologia.,1400,MEDIUM
heavyindustry,Indústria Pesada,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Infraestrutura de manufatura centralizada para produção de equipamentos industriais pesados, suprimentos e armas. Também capaz de produzir naves estelares minimamente capazes de operar no espaço; uma autoforja pode ser instalada para melhorar a qualidade da produção.",1600,HIGH
